,Channel_Name,Subscribers,Total_Views,Total_Videos,playlistId
0,Ken Jee,234000,7529810,253,UUiT9RITQ9PW6BhXK0y2jaeg
1,3Blue1Brown,4950000,319695906,127,UUYO_jab_esuFRV4b17AJtAw
2,Luke Barousse,305000,13824681,111,UULLw7jmFsvfIVaUFsLs8mlQ
3,Alex The Analyst,364000,14251266,192,UU7cs8q-gJRlGwj4A8OmCmXg
4,sentdex,1210000,107732602,1234,UUfzlCWGWYyIQ0aLC5w48gBQ
5,Guy in a Cube,321000,25044467,873,UUFp1vaKzpfvoGai0vE5VJ0w
6,Tina Huang,453000,18733093,116,UU2UXDak6o7rBm23k3Vv5dww
7,StatQuest with Josh Starmer,874000,45115018,237,UUtYLUTtgS3k1Fg4y5tAhLbw
8,Krish Naik,715000,69655370,1620,UUNU_lfiiWBdtULKOw6X0Dig
9,Corey Schafer,1050000,82339730,231,UUCezIgC97PvUuR4_gbFUs5g
